yr,holiday,workingday,weathersit_0,weathersit_1,weathersit_2,temp,atemp,hum,windspeed,casual,registered,season_sin,season_cos,mnth_sin,mnth_cos,hr_sin,hr_cos,weekday_sin,weekday_cos,cnt
1,0,1,-0.75,-0.5,-0.25,0.56,0.5303,0.88,0.2985,0.008174386920980926,0.08577878103837472,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.07991803278688525
0,0,1,0.25,-0.5,-0.25,0.68,0.6364,0.65,0.3881,0.10899182561307902,0.1489841986455982,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.17520491803278687
1,0,0,0.25,0.5,-0.25,0.36,0.3485,0.81,0.1343,0.2779291553133515,0.19525959367945825,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.2807377049180328
0,0,1,0.25,-0.5,-0.25,0.52,0.5,0.88,0.2239,0.008174386920980926,0.001128668171557562,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.0030737704918032786
1,0,1,0.25,-0.5,-0.25,0.82,0.7424,0.41,0.0,0.30517711171662126,0.8419864559819413,-1.0,-1.8369701987210297e-16,-0.8660254037844384,-0.5000000000000004,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.8780737704918032
0,0,0,0.25,-0.5,-0.25,0.82,0.8333,0.63,0.0,0.3079019073569482,0.17607223476297967,-1.0,-1.8369701987210297e-16,-0.8660254037844384,-0.5000000000000004,0.258819045102521,-0.9659258262890682,0.0,1.0,0.27459016393442626
1,1,0,0.25,-0.5,-0.25,0.3,0.3333,0.7,0.0,0.021798365122615803,0.03160270880361174,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.035860655737704916
0,0,1,0.25,-0.5,-0.25,0.56,0.5303,0.88,0.0896,0.005449591280653951,0.025959367945823927,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.02459016393442623
1,0,1,0.25,-0.5,-0.25,0.6,0.6212,0.4,0.3582,0.19346049046321526,0.4401805869074492,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.4713114754098361
0,0,1,0.25,0.5,-0.25,0.6,0.6212,0.49,0.1045,0.09536784741144415,0.12641083521444696,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.14959016393442623
0,0,1,0.25,-0.5,-0.25,0.22,0.2273,0.51,0.1642,0.01907356948228883,0.08916478555304741,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.08709016393442623
1,0,0,0.25,0.5,-0.25,0.44,0.4394,0.62,0.19399999999999998,0.5177111716621253,0.309255079006772,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.47438524590163933
1,0,1,0.25,-0.5,-0.25,0.54,0.5152,0.94,0.1045,0.010899182561307902,0.03837471783295711,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.03790983606557377
1,0,0,0.25,0.5,-0.25,0.24,0.2576,0.93,0.1045,0.013623978201634877,0.05191873589164785,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,0.0,1.0,0.05122950819672131
1,0,1,0.25,-0.5,-0.25,0.6,0.6212,0.43,0.3881,0.07356948228882834,0.2325056433408578,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.23770491803278687
